ID,abbr,selected,title,author,year,journal,booktitle,doi,url,pdf,eprint
Chakraborty2023_CounterTuring,EMNLP 23,TRUE,Counter Turing Test (CT2): AI-Generated Text Detection is Not as Easy as You May Think,Shreya Chakraborty and Aman Chadha and Aishwarya Sheth and Amitava Das,2023,,EMNLP 2023,,,https://arxiv.org/pdf/2310.05030.pdf,
Wijesiriwardene2023_ANALOGICAL,ACL 23,,ANALOGICAL - A New Benchmark for Analogy of Long Text for Large Language Models,T. Wijesiriwardene and R. Wickramarachchi and B. Gajera and S. Gowaikar and C. Gupta and A. Chadha and A. Reganti and A. Sheth and A. Das,2023,,Proceedings of ACL 2023,,,,
Rani2023_FACTIFY5WQA,ACL 23,,FACTIFY-5WQA: 5W Aspect-based Fact Verification through Question Answering,A. Rani and S. M. Tonmoy and D. Dalal and S. Gautam and M. Chakraborty and A. Chadha and A. Sheth and A. Das,2023,,Proceedings of ACL 2023,,,,
Mohammed2023_CONFLATOR,ACL 23,,CONFLATOR: Incorporating Switching Point-based Rotatory Positional Encodings for Code-Mixed Language Modeling,M. Mohammed and S. Kandukuri and N. Gupta and P. Patwa and A. Chatterjee and V. Jain and A. Chadha and A. Das,2023,,"6th Workshop on Computational Approaches to Linguistic Code-Switching (AACL), ACL 2023",,,,
Ali2022_PESTO,AAAI 22,,PESTO: Switching Point-Based Dynamic and Relative Positional Encoding for Code-Mixed Languages,M. Ali and S. T. Kandukuri and S. Manduru and P. Patwa and A. Das,2022,,AAAI 2022,,,,
Gunti2022_Memotion,AAAI 22,,Memotion Analysis through the Lens of Joint Embedding,N. Gunti and S. Ramamoorthy and P. Patwa and A. Das,2022,,AAAI 2022,,,,
Dutta2021_HateInfodemic,IEEE ICDE 21,,Hate is the New Infodemic: A Topic-aware Modeling of Hate Speech Diffusion on Twitter,S. Dutta and S. Masud and Sa. Makkar and C. Jain and V. Goyal and A. Das and T. Chakraborty,2021,,IEEE ICDE 2021,,,,
Guptha2020_MinoritySampling,LREC 20,,Minority Positive Sampling for Switching Points - an Anecdote for the Code-Mixing Language Modeling,V. Guptha and A. Chatterjee and P. Chopra and A. Das,2020,,LREC 2020,,,,
Rudrapal2018_CICLING_SRL,CICLING 18,,Semantic Role Labeling of English Tweets,D. Rudrapal and A. Das,2018,,CICLING 2018,,,,
Kumar2018_CVSubwords,AAAI 18,,Consonant-Vowel Sequences as Subword Units for Code-Mixed Languages,U. Kumar and V. S. Rana and C. Andrew and S. Gongidi and A. Das,2018,,AAAI 2018,,,,
Maheshwari2017_ISISVulnerability,ASONAM 17,,Understanding the Psycho-Sociological Vulnerability of ISIS Patronizers on Twitter,T. Maheshwari and A. Reganti and A. Das and T. Chakraborty and P. Kumaraguru,2017,,ASONAM 2017,,,,
Rudrapal2017_Quotology,NLDB 17,,Quotology - Reading Between the Lines of Quotations,D. Rudrapal and A. Das and B. Bhattacharya,2017,,NLDB 2017,,,,
Maheshwari2017_SocioEthnic,CSCW 17,,Socio-Ethnic Ingredients of Social Network Communities,T. Maheshwari and A. Reganti and T. Chakraborty and A. Das,2017,,CSCW 2017,,,,
Maheshwari2017_SocietalSentiment,EACL 17,,A Societal Sentiment Analysis: Predicting the Values and Ethics of Individuals by Analyzing Social Media Content,T. Maheshwari and A. N. Reganti and S. Gupta and A. Jamatia and U. Kumar and B. Gambäck and A. Das,2017,,EACL 2017,,,,
Reganti2017_SemanticInterpretation,AAAI 17,,Semantic Interpretation of Social Network Communities,A. N. Reganti and T. Maheshwari and U. Kumar and T. Chakraborty and A. Das and A. Sheth,2017,,AAAI 2017,,,,
Gamback2016_CodeSwitchLevels,LREC 16,,Comparing the Level of Code-Switching in Corpora,B. Gambäck and A. Das,2016,,LREC 2016,,,,
Jamatia2016_CollectingCodeMixed,CICLING 16,,Collecting and Annotating Indian Social Media Code-Mixed Corpora,A. Jamatia and B. Gambäck and A. Das,2016,,CICLING 2016,,,,
Jamatia2015_POSCodeMixed,RANLP 15,,Part-of-Speech Tagging for Code-Mixed English-Hindi Twitter and Facebook Chat Messages,A. Jamatia and B. Gambäck and A. Das,2015,,RANLP 2015,,,,
Sarma2014_HealthBehaviorRobots,INLG 14,,A Framework for Health Behavior Change using Companionable Robots,B. Sarma and A. Das and R. Nielsen,2014,,INLG 2014,,,,
Das2013_SentimentalEyes,HCI 13,,Sentimental Eyes!,A. Das and B. Gambäck,2013,,Proceedings of HCI 2013,,,,
Das2012_5WStructure,CICLING 12,,The 5W Structure for Sentiment Summarization-Visualization-Tracking,Amitava Das and Sivaji Bandyopadhyay and Björn Gambäck,2012,,CICLING 2012,,,,
Das2011_PsychoSentiWordNet,ACL 11,,PsychoSentiWordNet,Amitava Das,2011,,Proceedings of ACL 2011,,,,
Das2011_DrSentiment,ACL 11,,Dr Sentiment Knows Everything!,Amitava Das and Sivaji Bandyopadhyay,2011,,ACL/HLT 2011,,,,
Das2010_PragmaLex,ICON 10,,Can We Mimic Human Pragmatics Knowledge in a Computational Lexicon?,Amitava Das,2010,,ICON 2010,,,,
Zafar2024_KIMAG,Neurocomputing 24,,KI-MAG: A knowledge-infused abstractive question answering system in medical domain,A. Zafar and S.K. Sahoo and H. Bhardawaj and A. Das and A. Ekbal,2024,Neurocomputing,,10.1016/j.neucom.2023.127141,,,
Zafar2024_AppliedIntelligence,Applied Intelligence 24,,Are my answers medically accurate? Exploiting medical knowledge graphs for medical question answering,A. Zafar and D. Varshney and S.K. Sahoo and A. Das and A. Ekbal,2024,Applied Intelligence,,10.1007/s10489-024-05282-8,,,
Zafar2024_JIIS,Intelligent Information Systems 24,,KIMedQA: towards building knowledge-enhanced medical QA models,A. Zafar and S.K. Sahoo and D. Varshney and A. Das and A. Ekbal,2024,Journal of Intelligent Information Systems,,10.1007/s10844-024-00844-1,,,
Wijesiriwardene2023_NeurosymbolicAI,Intelligent Systems 23,,Why Do We Need Neurosymbolic AI to Model Pragmatic Analogies?,T. Wijesiriwardene and A. Sheth and V.L. Shalin and A. Das,2023,IEEE Intelligent Systems,,10.1109/MIS.2023.3305862,,,
PYKL2022_ExpertSysAppl,Exper Systems 22,,Fake spreader is narcissist; Real spreader is Machiavellian prediction of fake news diffusion using psycho-sociological facets,S.P.Y.K.L. and A. Das and V. Pulabaigari,2022,Expert Systems with Applications,,10.1016/j.eswa.2022.117952,,,
Rudrapal2021_TweetRanking,CICLING 21,,Ranking of Event-focused English Tweets Based on Relevance and Informativeness,D. Rudrapal and A. Das and B. Bhattacharya,2021,Computing and Systems,,10.13053/cys-23-2-3011,,,
Jamatia2020_AITools,Artificial Intelligence Tools 20,,Deep Learning Based Sentiment Analysis in a Code-Mixed English-Hindi and English-Bengali Social Media Corpus,A. Jamatia and S. D. Swamy and B. Gambäck and A. Das,2020,International Journal on Artificial Intelligence Tools,,10.1142/S0218213020500141,,,
Rudrapal2019_PartialEntailment,CICLING 19,,Recognition of Partial Textual Entailment for Indian Social Media Text,D. Rudrapal and A. Das and B. Bhattacharya,2019,Computing and Systems,,10.13053/cys-23-1-2816,,,
Solomon2019_Homophily,IEEE CIM,,Understanding the Psycho-Sociological Facets of Homophily in Social Network Communities,R. S. Solomon and S. P. Y. K. L. and A. Das and B. Gambäck and T. Chakraborty,2019,IEEE Computational Intelligence Magazine,,10.1109/MCI.2019.2901084,,,
Jamatia2019_LangID,Intelligent Systems 19,,Deep Learning-Based Language Identification in English-Hindi-Bengali Code-Mixed Social Media Corpora,A. Jamatia and A. Das and B. Gambäck,2019,Journal of Intelligent Systems,,10.1515/jisys-2017-0440,,,
Chakma2019_DeepSRL_5W1H,CICLING 19,,"Deep Semantic Role Labeling for Tweets using 5W1H: Who, What, When, Where, Why and How",K. Chakma and A. Das and S. Debbarma,2019,Computing and Systems,,10.13053/cys-23-3-3253,,,
Rudrapal2019_TwitterSummarization,CICLING 19,,A New Approach for Twitter Event Summarization Based on Sentence Identification and Partial Textual Entailment,D. Rudrapal and A. Das and B. Bhattacharya,2019,Computing and Systems,,10.13053/cys-23-3-3275,,,
Solomon2018_TwitterSelectionalPreferences,IJCIE 18,,Understanding the Selectional Preferences of the Twitter Mentions Network,R. Solomon and S. P. Y. K. L. Srinivas and A. Narayan and A. Das,2018,International Journal of Computer and Information Engineering,,,,,
Chakma2018_5W1HAnnotation,CICLING 2018,,A 5W1H Based Annotation Scheme for Semantic Role Labeling of English Tweets,K. Chakma and A. Das,2018,Computing and Systems,,10.13053/cys-22-3-3016,,,
Rudrapal2018_SyntaxSRL,Computing and Systems 18,,Semantic Role Labelling of English Tweets,D. Rudrapal and A. Das,2018,Computing and Systems,,10.13053/cys-22-3-3035,,,
Kumar2018_InducingValues,Information Systems 18,,Inducing Personalities and Values from Language Use in Social Network Communities,U. Kumar and A. N. Reganti and T. Maheshwari and T. Chakraborty and B. Gambäck and A. Das,2018,Information Systems Frontier,,10.1007/s10796-017-9793-8,,,
Solomon2018_HomophilyFriends,IEEE CIM,,"Friends are the family we choose - Understanding the Psycho-Sociological Homophilic Nature amongst Friends, Relatives, and Colleagues in Twitter",S. Solomon and S. P. Y. K. L. Srinivas and A. Das and T. Chakraborty and B. Gambäck,2018,IEEE Computational Intelligence Magazine,,,,,
Maheshwari2018_Psycholinguistic,IEEE IS,,Revealing Psycholinguistic Dimensions of Communities in Social Networks,T. Maheshwari and A. Reganti and U. Kumar and A. Das and T. Chakraborty,2018,IEEE Intelligent Systems,,10.1109/MIS.2018.111144400,,,
Maheshwari2017_PsycholinguisticBehavior,Information Systems 17,,Mining Human Psycholinguistic Behavior from Social Media,T. Maheshwari and A. Reganti and U. Kumar and A. Das and T. Chakraborty and B. Gambäck,2017,Information Systems Frontier,,10.1007/s10796-016-9692-3,,,
Das2014_CodeMixing,TAL 14,,Code-Mixing in Social Media Text: The Last Language Identification Frontier?,Amitava Das and Björn Gambäck,2014,Traitement Automatique des Langues (TAL),,,,,
